trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20221118,000001.SH,上证综指,week,周K,3097.243,3173.1534500000002,3170.2175666666662,-2.392271637540888,-2.3018788184747674,公开指数日线计算（周K最后实际交易日）
20221125,000001.SH,上证综指,week,周K,3101.693,3158.85625,3170.7100333333333,-1.8096185921723906,-2.176705930462397,公开指数日线计算（周K最后实际交易日）
20221130,000001.SH,上证综指,month,月K,3151.335,3357.33155,3352.615333333333,-6.135722580035319,-6.003681106272651,公开指数日线计算（月K最后实际交易日）
20221202,000001.SH,上证综指,week,周K,3156.144,3148.85955,3174.3460999999998,0.23133613564947364,-0.5734125840909376,公开指数日线计算（周K最后实际交易日）
20221209,000001.SH,上证综指,week,周K,3206.95,3147.804,3181.1924000000004,1.8789606976800322,0.8096838154145969,公开指数日线计算（周K最后实际交易日）
20221216,000001.SH,上证综指,week,周K,3167.858,3142.6982,3183.9781666666668,0.8005795784017833,-0.5062901132749542,公开指数日线计算（周K最后实际交易日）
20221223,000001.SH,上证综指,week,周K,3045.866,3132.3296,3180.6214666666665,-2.7603608509142896,-4.236765301338796,公开指数日线计算（周K最后实际交易日）
20221230,000001.SH,上证综指,week,周K,3089.258,3125.44115,3179.2554333333333,-1.1576973701776572,-2.8307707644294022,公开指数日线计算（周K最后实际交易日）
20221230,000001.SH,上证综指,month,月K,3089.258,3339.45165,3356.1014666666665,-7.492057865248636,-7.950995204316625,公开指数日线计算（月K最后实际交易日）
20230106,000001.SH,上证综指,week,周K,3157.637,3119.4786,3177.994733333333,1.2232300615878655,-0.6405842375950099,公开指数日线计算（周K最后实际交易日）
20230113,000001.SH,上证综指,week,周K,3195.306,3116.34,3175.0104666666666,2.533934038006125,0.6392272890564987,公开指数日线计算（周K最后实际交易日）
20230120,000001.SH,上证综指,week,周K,3264.814,3117.76955,3173.2780666666667,4.716334791325427,2.884585952137697,公开指数日线计算（周K最后实际交易日）
20230131,000001.SH,上证综指,month,月K,3255.669,3321.4612500000003,3354.2902000000004,-1.9808224467469104,-2.9401510936650777,公开指数日线计算（月K最后实际交易日）
20230203,000001.SH,上证综指,week,周K,3263.406,3121.6159500000003,3170.400033333333,4.542200330569157,2.9335719684837835,公开指数日线计算（周K最后实际交易日）
20230210,000001.SH,上证综指,week,周K,3260.673,3121.5469,3166.1679000000004,4.456960105260621,2.984841707225927,公开指数日线计算（周K最后实际交易日）
20230217,000001.SH,上证综指,week,周K,3224.024,3126.4282,3161.7661,3.121638936086879,1.9690862015378174,公开指数日线计算（周K最后实际交易日）
20230224,000001.SH,上证综指,week,周K,3267.16,3135.3677,3163.0694,4.203408104255213,3.290809869679112,公开指数日线计算（周K最后实际交易日）
20230228,000001.SH,上证综指,month,月K,3279.605,3305.8816500000003,3350.4211,-0.7948454537082483,-2.1136477441596857,公开指数日线计算（月K最后实际交易日）
