code,exchange,name,source,updated_at
002679,SZ,福建金森,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600892,SH,大晟文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002470,SZ,金正大,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600792,SH,云煤能源,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000505,SZ,京粮控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000564,SZ,供销大集,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603021,SH,*ST华鹏,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300530,SZ,领湃科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300624,SZ,万兴科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000409,SZ,云鼎科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300071,SZ,福石控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300380,SZ,安硕信息,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301256,SZ,华融化学,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300158,SZ,振东制药,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300970,SZ,华绿生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300997,SZ,欢乐家,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300386,SZ,飞天诚信,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301357,SZ,北方长龙,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300079,SZ,数码视讯,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601311,SH,骆驼股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300195,SZ,长荣股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600479,SH,千金药业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605179,SH,一鸣食品,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002755,SZ,奥赛康,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300798,SZ,锦鸡股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688132,SH,邦彦技术,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688297,SH,中无人机,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300945,SZ,曼卡龙,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603596,SH,伯特利,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300018,SZ,中元股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601900,SH,南方传媒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300025,SZ,华星创业,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300582,SZ,英飞特,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688033,SH,*ST天宜,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000713,SZ,国投丰乐,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301110,SZ,青木科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002385,SZ,大北农,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002418,SZ,康盛股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300087,SZ,ST荃银,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300468,SZ,四方精创,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603339,SH,四方科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300546,SZ,雄帝科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300050,SZ,世纪鼎利,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002589,SZ,瑞康医药,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000158,SZ,常山北明,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300123,SZ,ST亚光,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601319,SH,中国人保,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300250,SZ,初灵信息,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603115,SH,海星股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600865,SH,百大集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002131,SZ,利欧股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300061,SZ,旗天科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002803,SZ,吉宏股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605333,SH,沪光股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000626,SZ,远大控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600844,SH,金煤科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603330,SH,天洋新材,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688169,SH,石头科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603230,SH,内蒙新华,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300062,SZ,中能电气,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603585,SH,苏利股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
